ID,Name,Category,Likelihood,Impact,Score,Priority,Owner,Threat
R1,Financial Theft,Financial,4,3,12,Critical,CFO Office,Deepfake
R2,Executive Spoofing,Identity,3,3,9,High,CISO,Deepfake
R3,AI Phishing,Identity,2,2,4,High,SOC Team,Phishing
R4,Data Exfiltration,Data,2,2,4,Medium,DPO,Data
R5,Infra Disruption,Infrastructure,1,3,3,Medium,IT Ops,Infrastructure
R6,Credential Harvest,Identity,2,1,2,Low,IAM Team,Phishing
R7,Ransomeware Attack,Infrastructure,4,4,16,Critical,SOC Team,Malware
R8,Insider Threat,Identity,3,2,6,High,HR Security,Access Abuse
R9,API Data Leakage ,Data,3,2,6,High,Backend Team,Data
R10,Cloud Misconfiguration,Infrastructure,2,3,6,High,Cloud Ops,Infrastructure
R11,Supply Chain,Financial,3,4,12,Critical,Procurement,Third Party
R12,Model Poisoning,AI,2,3,6,High,AI Team,AI Attack
R13,Prompt Injection,AI,2,2,4,Medium,AI Team,AI Attack
R14,Session Hijacking,Identity,2,3,6,High,Security Team,Web Attack
R15,Zero-Day Exploit,Infrastructure,4,4,16,Critical,SOC Team,Vulnerability
